,title,studio,domestic_gross(mils),foreign_gross(mils),year,world_wide_gross(mils)
0,Toy Story 3,BV,415.0,652.0,2010,1067.0
1,Alice in Wonderland (2010),BV,334.2,691.3,2010,1025.5
2,Harry Potter and the Deathly Hallows Part 1,WB,296.0,664.3,2010,960.3
3,Inception,WB,292.6,535.7,2010,828.3
4,Shrek Forever After,P/DW,238.7,513.9,2010,752.6
5,The Twilight Saga: Eclipse,Sum.,300.5,398.0,2010,698.5
6,Iron Man 2,Par.,312.4,311.5,2010,623.9
7,Tangled,BV,200.8,391.0,2010,591.8
8,Despicable Me,Uni.,251.5,291.6,2010,543.1
9,How to Train Your Dragon,P/DW,217.6,277.3,2010,494.9
10,Clash of the Titans (2010),WB,163.2,330.0,2010,493.2
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104.4,311.3,2010,415.7
12,The King's Speech,Wein.,135.5,275.4,2010,410.9
13,Tron Legacy,BV,172.1,228.0,2010,400.1
14,The Karate Kid,Sony,176.6,182.5,2010,359.1
15,Prince of Persia: The Sands of Time,BV,90.8,245.6,2010,336.4
16,Black Swan,FoxS,107.0,222.4,2010,329.4
17,Megamind,P/DW,148.4,173.5,2010,321.9
18,Robin Hood,Uni.,105.3,216.4,2010,321.7
19,The Last Airbender,Par.,131.8,187.9,2010,319.7
20,Little Fockers,Uni.,148.4,162.2,2010,310.6
21,Resident Evil: Afterlife,SGem,60.1,240.1,2010,300.2
22,Shutter Island,Par.,128.0,166.8,2010,294.8
23,Salt,Sony,118.3,175.2,2010,293.5
24,Sex and the City 2,WB (NL),95.3,193.0,2010,288.3
25,The Tourist,Sony,67.6,210.7,2010,278.3
26,The Expendables,LGF,103.1,171.4,2010,274.5
27,Grown Ups,Sony,162.0,109.4,2010,271.4
28,Knight & Day,Fox,76.4,185.5,2010,261.9
29,True Grit,Par.,171.2,81.0,2010,252.2
30,Gulliver's Travels,Fox,42.8,194.6,2010,237.4
31,Percy Jackson & The Olympians: The Lightning Thief,Fox,88.8,137.7,2010,226.5
32,The Social Network,Sony,97.0,128.0,2010,225.0
33,Valentine's Day,WB (NL),110.5,106.0,2010,216.5
34,The Sorcerer's Apprentice,BV,63.2,152.1,2010,215.3
35,Due Date,WB,100.5,111.2,2010,211.7
36,Eat Pray Love,Sony,80.6,124.0,2010,204.6
37,Yogi Bear,WB,100.2,101.3,2010,201.5
38,Red,Sum.,90.4,108.6,2010,199.0
39,Paranormal Activity 2,Par.,84.8,92.8,2010,177.6
40,The A-Team,Fox,77.2,100.0,2010,177.2
41,Jackass 3-D,Par.,117.2,54.5,2010,171.7
42,The Other Guys,Sony,119.2,51.2,2010,170.4
43,Unstoppable,Fox,81.6,86.2,2010,167.8
44,Step Up 3-D,BV,42.4,116.9,2010,159.3
45,The Book of Eli,WB,94.8,62.3,2010,157.1
46,The Town,WB,92.2,61.8,2010,154.0
47,Date Night,Fox,98.7,53.6,2010,152.3
48,Legend of the Guardians: The Owls of Ga'Hoole,WB,55.7,84.4,2010,140.1
49,The Wolfman,Uni.,62.0,77.8,2010,139.8
50,The Bounty Hunter,Sony,67.099999,69.3,2010,136.399999
51,Saw 3D,LGF,45.7,90.4,2010,136.1
52,Wall Street: Money Never Sleeps,Fox,52.5,82.3,2010,134.8
53,The Fighter,Par.,93.6,35.6,2010,129.2
54,Predators,Fox,52.0,75.2,2010,127.2
55,A Nightmare on Elm Street (2010),WB (NL),63.1,52.6,2010,115.7
56,Dear John,SGem,80.0,35.0,2010,115.0
57,Cats & Dogs: The Revenge of Kitty Galore,WB,43.6,68.9,2010,112.5
58,Tooth Fairy,Fox,60.0,52.4,2010,112.4
59,Life as We Know It,WB,53.4,52.3,2010,105.7
60,Hereafter,WB,32.7,72.5,2010,105.2
61,The Girl with the Dragon Tattoo,MBox,10.1,94.3,2010,104.4
62,Love and Other Drugs,Fox,32.4,70.5,2010,102.9
63,Aftershock (Tangshan Dadizhen),CL,0.063,100.2,2010,100.263
64,Killers,LGF,47.1,51.1,2010,98.2
65,Kick-Ass,LGF,48.1,48.1,2010,96.2
66,Green Zone,Uni.,35.1,59.8,2010,94.9
67,Nanny McPhee Returns,Uni.,29.0,64.2,2010,93.2
68,Get Him to the Greek,Uni.,61.0,30.3,2010,91.3
69,Burlesque,SGem,39.4,50.1,2010,89.5
70,The Last Song,BV,63.0,26.1,2010,89.1
71,Dinner for Schmucks,P/DW,73.0,13.8,2010,86.8
72,Marmaduke,Fox,33.6,50.1,2010,83.7
73,Piranha 3D,W/Dim.,25.0,58.2,2010,83.2
74,Oceans,BV,19.4,63.2,2010,82.6
75,Edge of Darkness,WB,43.3,37.8,2010,81.1
76,Vampires Suck,Fox,36.7,43.9,2010,80.6
77,Letters to Juliet,Sum.,53.0,26.1,2010,79.1
78,The Back-Up Plan,CBS,37.5,40.0,2010,77.5
79,If You Are the One 2 (Fei Cheng Wu Rao II),CL,0.427,75.6,2010,76.027
80,Diary of a Wimpy Kid,Fox,64.0,11.7,2010,75.7
81,Easy A,SGem,58.4,16.6,2010,75.0
82,Hubble 3D,WB,52.4,21.5,2010,73.9
83,Takers,SGem,57.7,11.3,2010,69.0
84,Tales from Earthsea,BV,0.0485,68.6,2010,68.6485
85,Legion (2010),SGem,40.2,27.8,2010,68.0
86,The American,Focus,35.6,32.299999,2010,67.899999
87,The Last Exorcism,LGF,41.0,26.7,2010,67.7
88,The Next Three Days,LGF,21.1,46.3,2010,67.4
89,The Girl Who Played with Fire,MBox,7.6,59.5,2010,67.1
90,Skyline,Uni.,21.4,45.4,2010,66.8
91,Hot Tub Time Machine,MGM,50.3,14.3,2010,64.6
92,Devil,Uni.,33.6,29.1,2010,62.7
93,127 Hours,FoxS,18.3,42.4,2010,60.7
94,Tyler Perry's Why Did I Get Married Too?,LGF,60.1,0.578,2010,60.678
95,Secretariat,BV,59.7,0.537,2010,60.237
96,The Ghost Writer,Sum.,15.5,44.7,2010,60.2
97,Morning Glory,Par.,31.0,29.0,2010,60.0
98,Remember Me,Sum.,19.1,37.0,2010,56.1
99,Cop Out,WB,44.9,10.7,2010,55.6
100,The Crazies,Over.,39.1,15.7,2010,54.8
101,From Paris with Love,LGF,24.1,28.7,2010,52.8
102,Daybreakers,LGF,30.1,21.3,2010,51.4
103,Alpha and Omega,LGF,25.1,25.4,2010,50.5
