,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,world_wide_box_office
0,Madea's Family Reunion,2006,8220100,10000000,63257940,62581,PG-13,Contemporary Fiction,Based on Play,Live Action,Comedy,1.0,,63320521
1,Krrish,2006,58540100,10000000,1430721,31000000,Not Rated,Science Fiction,Original Screenplay,Live Action,Action,1.0,,32430721
2,End of the Spear,2006,34620100,10000000,11748661,175380,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,,11924041
3,A Prairie Home Companion,2006,24910100,10000000,20342852,6373339,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,105.0,26716191
4,Saw III,2006,5840100,10000000,80238724,83638091,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,,163876815
5,Employee of the Month,2006,19540100,10000000,28444855,9920000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,108.0,38364855
6,Edmond,2006,78520100,10000000,131719,110000,R,Contemporary Fiction,Based on Play,Live Action,Black Comedy,0.0,,241719
7,Peaceful Warrior,2006,52640100,10000000,2893666,366513,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,3260179
8,Turistas,2006,42200100,10000000,7027762,7293308,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,,14321070
9,Kabhi Alvida Naa Kehna,2006,51280100,10750000,3275443,29300000,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,,32575443
10,Jackass: Number Two,2006,6660100,11000000,72778712,12500000,R,Factual,Based on TV,Live Action,Comedy,1.0,,85278712
11,Copying Beethoven,2006,69990100,11000000,355968,6230356,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,6586324
12,For Your Consideration,2006,45520100,12000000,5549923,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,5549923
13,Crank,2006,19850100,12000000,27838408,16086515,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,88.0,43924923
14,Fateless,2006,75540100,12000000,196857,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,140.0,196857
15,Running With Scissors,2006,42860100,12000000,6860000,1846701,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Comedy,0.0,,8706701
16,Step Up,2006,7780100,12000000,65328121,45661036,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,103.0,110989157
17,Find Me Guilty,2006,60110100,13000000,1173673,1724552,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,2898225
18,Infamous,2006,60310100,13000000,1151330,1462387,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,2613717
19,Letters from Iwo Jima,2006,31930100,13000000,13756082,54111916,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0.0,101.0,67867998
20,Little Children,2006,45670100,14000000,5463019,8658158,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,14121177
21,Catch a Fire,2006,48350100,14000000,4299773,1482425,PG-13,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0.0,,5782198
22,Bobby,2006,35340100,14000000,11242801,9355005,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,116.0,20597806
23,An American Haunting,2006,130560100,14000000,16298046,14145231,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0.0,83.0,30443277
24,Manderlay,2006,83060100,14200000,74205,469101,Not Rated,Historical Fiction,Original Screenplay,Live Action,Drama,1.0,,543306
25,Idlewild,2006,33420100,15000000,12669914,0,R,Historical Fiction,Original Screenplay,Live Action,Musical,0.0,,12669914
26,The Marine,2006,26360100,15000000,18844784,3320824,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,,22165608
27,The Queen,2006,9460100,15000000,56441711,72444162,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,128885873
28,Flicka,2006,24440100,15000000,21000147,896220,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,95.0,21896367
29,Hoot,2006,40190100,15000000,8117637,107361,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,91.0,8224998
30,When a Stranger Calls,2006,11590100,15000000,47860214,19355221,PG-13,Contemporary Fiction,Remake,Live Action,Horror,0.0,,67215435
31,Slither,2006,40870100,15250000,7802450,5127893,R,Science Fiction,Original Screenplay,Live Action,Horror,0.0,96.0,12930343
32,El Laberinto del Fauno,2006,15030100,16000000,37634615,49406954,R,Historical Fiction,Original Screenplay,Live Action,Horror,0.0,,87041569
33,The Texas Chainsaw Massacre: The Beginning,2006,14200100,16000000,39517763,11000000,R,Historical Fiction,Remake,Live Action,Horror,1.0,,50517763
34,The Illusionist,2006,14070100,16500000,39868642,43923420,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,110.0,83792062
35,FUR: An Imaginary Portrait of Diane Arbus,2006,74420100,16800000,223202,2057887,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,115.0,2281089
36,The Hills Have Eyes,2006,13350100,17000000,41778863,28576950,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,,70355813
37,American Dreamz,2006,130880100,17000000,7314027,9196944,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0.0,107.0,16510971
38,Larry the Cable Guy: Health Inspector,2006,29590100,17000000,15680099,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,15680099
39,ATL,2006,24260100,17000000,21170563,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,107.0,21170563
40,Running Scared,2006,42740100,17000000,6855137,2873951,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,,9729088
41,Beerfest,2006,26000100,17500000,19185184,974132,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,110.0,20159316
42,United 93,2006,18030100,18000000,31567134,46067901,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,111.0,77635035
43,Borat,2006,2620100,18000000,128505958,132937284,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0.0,82.0,261443242
44,Renaissance,2006,83460100,18000000,70644,2330769,R,Science Fiction,Original Screenplay,Digital Animation,Action,0.0,105.0,2401413
45,Indigènes,2006,71010100,18900000,320700,25742872,Not Rated,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,120.0,26063572
46,The Painted Veil,2006,40280100,19400000,8060487,7058308,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,15118795
47,Doogal,2006,41200100,20000000,7578946,20479706,G,Kids Fiction,Based on TV,Digital Animation,Adventure,0.0,83.0,28058652
48,The Proposition,2006,56400100,20000000,1903434,3410174,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,,5313608
49,Stay Alive,2006,22790100,20000000,23086480,101026,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0.0,,23187506
50,One Night with the King,2006,32340100,20000000,13395961,329071,PG,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,123.0,13725032
51,School for Scoundrels,2006,27190100,20000000,17807569,0,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0.0,101.0,17807569
52,Date Movie,2006,11350100,20000000,48548426,36597739,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,85146165
53,The Covenant,2006,22630100,20000000,23364784,14800000,PG-13,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0.0,97.0,38164784
54,Stick It,2006,20280100,20000000,26910736,3488978,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,30399714
55,Man of the Year,2006,15130100,20000000,37442180,3900000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,41342180
56,A Scanner Darkly,2006,45610100,20000000,5501616,1903468,R,Science Fiction,Based on Fiction Book/Short Story,Rotoscoping,Thriller/Suspense,0.0,100.0,7405084
57,Babel,2006,16570100,20000000,34302837,97818375,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,143.0,132121212
58,The Grudge 2,2006,14360100,20000000,39143839,31600000,PG-13,Contemporary Fiction,Remake,Live Action,Horror,1.0,,70743839
59,Pulse,2006,24970100,20500000,20264436,9976999,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,,30241435
60,Joyeux Noël,2006,61080100,22000000,1054361,22079714,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,23134075
61,Rocky Balboa,2006,7040100,24000000,70269899,85959151,PG,Contemporary Fiction,Unknown,Live Action,Drama,1.0,,156229050
62,Unaccompanied Minors,2006,28450100,25000000,16655224,5315607,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0.0,87.0,21970831
63,BloodRayne,2006,54100100,25000000,2405420,1306213,R,Fantasy,Based on Game,Live Action,Action,0.0,92.0,3711633
64,The Omen,2006,9820100,25000000,54607383,64688201,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,,119295584
65,She's the Man,2006,16720100,25000000,33889159,21390449,PG-13,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,0.0,105.0,55279608
66,Nanny McPhee,2006,11750100,25000000,47279279,81466299,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,99.0,128745578
67,Final Destination 3,2006,9880100,25000000,54098051,58700000,R,Fantasy,Original Screenplay,Live Action,Horror,1.0,,112798051
