,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_list,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,TV_movie,thriller,war,western
0,"[12, 14, 10751]",12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,"['Adventure', 'Fantasy', 'Family']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,"['Fantasy', 'Adventure', 'Animation', 'Family']",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,"['Adventure', 'Action', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,"[16, 35, 10751]",862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,"['Animation', 'Comedy', 'Family']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,"['Action', 'Science Fiction', 'Adventure']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,"[12, 14, 10751]",32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,"['Adventure', 'Fantasy', 'Family']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,"[28, 12, 14, 878]",19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,"['Animation', 'Family', 'Comedy']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,"[16, 10751, 35]",20352,en,Despicable Me,23.673000000000002,2010-07-09,Despicable Me,7.2,10057,"['Animation', 'Family', 'Comedy']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,"[16, 35, 10751]",863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,"['Animation', 'Comedy', 'Family']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,"[10751, 14, 12]",12155,en,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,"['Family', 'Fantasy', 'Adventure']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,"['Thriller', 'Adventure', 'Action']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
